order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,context,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName
20,4,X15,9,,,1,singlar,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N,,,,,,train,and,N_List4_Order20_Item_X15_Cond9
21,1,31,3,6,next-to,1,plural,plural,The ballerinas are next to the cannons and they are on Number 6.,E31_3_1.jpg,E31_3_2.jpg,Y,20,5,different,fem,inanimate,ballerina,cannons,Y_List1_Order21_Item_31_Cond3
21,2,31,1,6,next-to,1,plural,singular,The ballerinas are next to the cannon and they are on Number 6.,E31_1_1.jpg,E31_1_2.jpg,Y,20,5,different,fem,inanimate,ballerina,cannon,Y_List2_Order21_Item_31_Cond1
21,3,31,4,6,next-to,1,plural,plural,The ballerinas are next to the sheriffs and they are on Number 6.,E31_4_1.jpg,E31_4_2.jpg,Y,19,5,same,fem,animate,ballerina,sheriffs,Y_List3_Order21_Item_31_Cond4
21,4,31,2,6,next-to,1,plural,singular,The ballerinas are next to the sheriff and they are on Number 6.,E31_2_1.jpg,E31_2_2.jpg,Y,19,5,same,fem,animate,ballerina,sheriff,Y_List4_Order21_Item_31_Cond2
22,1,X79,9,,,1,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N,,,,,,light,5,N_List1_Order22_Item_X79_Cond9
22,2,X79,9,,,1,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N,,,,,,light,5,N_List2_Order22_Item_X79_Cond9
22,3,X79,9,,,1,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N,,,,,,light,5,N_List3_Order22_Item_X79_Cond9
22,4,X79,9,,,1,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N,,,,,,light,5,N_List4_Order22_Item_X79_Cond9
23,1,X52,9,,,2,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N,,,,,,Number,re,N_List1_Order23_Item_X52_Cond9
23,2,X52,9,,,2,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N,,,,,,Number,re,N_List2_Order23_Item_X52_Cond9
23,3,X52,9,,,2,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N,,,,,,Number,re,N_List3_Order23_Item_X52_Cond9
23,4,X52,9,,,2,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N,,,,,,Number,re,N_List4_Order23_Item_X52_Cond9
24,1,4,2,4,below,1,plural,singular,The bricklayers are below the princess and they are on Number 4.,E04_2_1.jpg,E04_2_2.jpg,Y,7,2,same,masc,animate,bricklayer,princess,Y_List1_Order24_Item_4_Cond2
24,2,4,4,4,below,1,plural,plural,The bricklayers are below the princesses and they are on Number 4.,E04_4_1.jpg,E04_4_2.jpg,Y,7,2,same,masc,animate,bricklayer,princesses,Y_List2_Order24_Item_4_Cond4
24,3,4,3,4,below,1,plural,plural,The bricklayers are below the necklaces and they are on Number 4.,E04_3_1.jpg,E04_3_2.jpg,Y,8,2,different,masc,inanimate,bricklayer,necklaces,Y_List3_Order24_Item_4_Cond3
24,4,4,1,4,below,1,plural,singular,The bricklayers are below the necklace and they are on Number 4.,E04_1_1.jpg,E04_1_2.jpg,Y,8,2,different,masc,inanimate,bricklayer,necklace,Y_List4_Order24_Item_4_Cond1
25,1,X26,9,,,1,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N,,,,,,dancer,below,N_List1_Order25_Item_X26_Cond9
